x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.704716 -0.177946 1.41187 1.57316 -0.00437077 -0.000303146 0.700588 -0.13449 1.40985 1.57098 -9.53582e-05 0.000127838
0.704693 -0.170534 1.41151 1.57335 -0.00364725 0.000112548 0.701149 -0.131389 1.41018 1.57108 -8.99616e-05 -0.000106463
0.704613 -0.166883 1.41127 1.57389 -0.00333315 0.000332881 0.701482 -0.127526 1.41006 1.57102 -7.9999e-05 6.33389e-05
0.704572 -0.163568 1.41108 1.57538 -0.00310006 0.000556264 0.700561 -0.12346 1.41 1.57086 0.000144488 2.65741e-05
0.704657 -0.160266 1.41104 1.57587 -0.00291193 0.000770977 0.701146 -0.120266 1.41021 1.57102 4.99609e-05 6.23245e-05
0.704728 -0.15704 1.41094 1.57475 -0.00264254 0.00122905 0.701481 -0.1169 1.41019 1.57107 2.47603e-05 -0.000149297
0.704692 -0.153682 1.41077 1.57326 -0.00214963 0.00167762 0.700665 -0.112722 1.40985 1.57094 -0.000198893 7.68895e-05
0.704662 -0.150264 1.41054 1.5728 -0.0016997 0.00202595 0.701238 -0.109504 1.4102 1.57101 -7.97477e-06 -3.69139e-05
0.704599 -0.146868 1.41031 1.57314 -0.0013611 0.00208759 0.701521 -0.10616 1.41015 1.57113 3.7258e-05 -8.81642e-05
0.704522 -0.143329 1.41004 1.57347 -0.000903527 0.00244488 0.700677 -0.101939 1.40985 1.57091 -0.000109564 7.42832e-05
0.704537 -0.139836 1.40986 1.57405 -0.000468393 0.002921 0.700934 -0.0987989 1.41007 1.57109 1.72395e-05 9.57101e-05
0.704573 -0.136379 1.40974 1.57407 -0.000124069 0.00323032 0.701254 -0.0950915 1.41013 1.57099 -9.00207e-05 0.000171034
0.704509 -0.132833 1.40954 1.57318 0.000224321 0.00349357 0.701537 -0.0917996 1.41022 1.57096 0.000129801 -0.000145072
0.70448 -0.129305 1.40936 1.57296 0.000515442 0.00377768 0.700583 -0.0877568 1.41001 1.57085 -1.9291e-05 0.000106762
0.704481 -0.125782 1.40914 1.57333 0.000836807 0.0040344 0.701307 -0.0844676 1.41044 1.57093 -0.000328212 0.000271392
0.704481 -0.122303 1.40898 1.57338 0.00114698 0.00412236 0.701211 -0.0812905 1.41013 1.57103 -1.13954e-05 -2.09085e-05
0.70445 -0.11876 1.40874 1.57302 0.00161174 0.00469469 0.701417 -0.0780733 1.41017 1.57113 -1.33985e-05 -7.73509e-05
0.704492 -0.115211 1.40854 1.57314 0.00197022 0.00533536 0.701492 -0.0742211 1.4101 1.57096 -0.000179394 0.000125642
0.704484 -0.111779 1.40835 1.5733 0.00221921 0.00552078 0.700773 -0.0708013 1.40995 1.57104 -0.000171246 0.000141693
0.704475 -0.10831 1.40819 1.57349 0.00249262 0.00552116 0.701195 -0.0675954 1.41025 1.57106 -0.000218835 0.000145446
0.704467 -0.104849 1.408 1.57309 0.00288541 0.00575505 0.701208 -0.0642067 1.41014 1.57103 1.70102e-05 1.14514e-05
